Date,Gauge % Before,Liters Added,Liters Before Fill,Price $/L,Discount 2¢/L,GST 5%,Total Cost $,Notes
2024-10-23,43.2,572.3,432,$1.303,$11.45,$36.71,$770.97,First tracked fill
2025-02-25,39.5,394.7,395,$1.384,$7.89,$26.92,$565.29,Winter fill
2025-09-24,14,805,140,$1.353,$16.10,$53.65,"$1,126.72",Late summer fill
2025-11-21,72,424.9,720,$1.461,$8.50,$30.61,$642.89,Fall fill - recent
